lstat,rm,dis,crim,nox,medv
4.98,6.575,4.09,0.00632,0.538,24.0
9.14,6.421,4.9671,0.02731,0.469,21.6
2.94,6.998,6.0622,0.03237,0.458,33.4
5.33,7.147,6.0622,0.06905,0.458,36.2
12.43,6.012,5.5605,0.08829,0.524,22.9
20.45,6.377,6.3467,0.22489,0.524,15.0
13.27,6.009,6.2267,0.11747,0.524,18.9
15.71,5.889,5.4509,0.09378,0.524,21.7
8.26,5.949,4.7075,0.62976,0.538,20.4
10.26,6.096,4.4619,0.63796,0.538,18.2
8.47,5.834,4.4986,0.62739,0.538,19.9
6.58,5.935,4.4986,1.05393,0.538,23.1
11.69,5.456,3.7965,0.80271,0.538,20.2
21.02,5.57,3.7979,1.25179,0.538,13.6
13.83,5.965,4.0123,0.85204,0.538,19.6
18.72,6.142,3.9769,1.23247,0.538,15.2
19.88,5.813,4.0952,0.98843,0.538,14.5
17.28,6.047,4.4534,0.95577,0.538,14.8
22.6,5.713,4.233,1.13081,0.538,12.7
13.04,6.072,4.175,1.35472,0.538,14.5
20.34,6.096,3.7598,1.61282,0.538,13.5
10.13,5.966,3.8473,0.17505,0.499,24.7
4.32,6.595,5.4011,0.02763,0.428,30.8
1.98,7.024,5.4011,0.03359,0.428,34.9
5.81,6.169,5.7209,0.1415,0.448,25.3
7.44,6.211,5.7209,0.15936,0.448,24.7
9.55,6.069,5.7209,0.12269,0.448,21.2
10.21,5.682,5.1004,0.17142,0.448,19.3
14.15,5.786,5.1004,0.18836,0.448,20.0
18.8,6.03,5.6894,0.22927,0.448,16.6
16.2,5.602,6.0877,0.21977,0.448,19.4
13.45,5.963,6.8147,0.08873,0.439,19.7
9.43,6.115,6.8147,0.04337,0.439,20.5
8.43,5.998,6.8147,0.04981,0.439,23.4
14.8,5.888,7.3197,0.0136,0.41,18.9
4.81,7.249,8.6966,0.01311,0.403,35.4
5.77,6.383,9.1876,0.02055,0.41,24.7
3.95,6.816,8.3248,0.01432,0.411,31.6
6.86,6.145,7.8148,0.15445,0.453,23.3
13.15,5.741,7.2254,0.14932,0.453,18.7
14.44,5.966,6.8185,0.17171,0.453,16.0
9.5,6.762,7.9809,0.1265,0.453,25.0
8.05,7.104,9.2229,0.01951,0.4161,33.0
4.67,6.29,6.6115,0.03584,0.398,23.5
10.24,5.787,6.6115,0.04379,0.398,19.4
8.1,5.878,6.498,0.05789,0.409,22.0
13.09,5.594,6.498,0.13554,0.409,17.4
6.72,6.417,5.2873,0.08826,0.413,24.2
5.52,6.065,5.2873,0.09164,0.413,22.8
7.54,6.245,5.2873,0.19539,0.413,23.4
6.78,6.273,4.2515,0.07896,0.437,24.1
8.94,6.286,4.5026,0.09512,0.437,21.4
11.97,6.279,4.0522,0.10153,0.437,20.0
10.27,6.14,4.0905,0.08707,0.437,20.8
5.29,6.727,5.4007,0.04113,0.426,28.0
7.22,6.619,5.4007,0.04462,0.426,23.9
7.51,6.167,5.4007,0.03551,0.426,22.9
9.62,6.389,4.7794,0.05059,0.449,23.9
6.53,6.63,4.4377,0.05735,0.449,26.6
12.86,6.015,4.4272,0.05188,0.449,22.5
8.44,6.121,3.7476,0.07151,0.449,22.2
5.5,7.007,3.4217,0.0566,0.489,23.6
5.7,7.079,3.4145,0.05302,0.489,28.7
8.81,6.417,3.0923,0.04684,0.489,22.6
6.21,6.211,3.6659,0.02875,0.464,25.0
10.59,6.249,3.615,0.04294,0.464,20.6
11.34,6.163,3.4952,0.11504,0.445,21.4
9.42,6.727,2.7778,0.14866,0.52,27.5
7.67,6.781,2.8561,0.11432,0.52,26.5
10.63,6.405,2.7147,0.22876,0.52,18.6
13.44,6.137,2.7147,0.21161,0.52,19.3
18.66,5.836,2.211,0.1712,0.52,19.5
14.09,6.127,2.1224,0.13117,0.52,20.4
12.27,6.474,2.4329,0.12802,0.52,19.8
15.55,6.229,2.5451,0.26363,0.52,19.4
10.16,6.715,2.6775,0.10084,0.547,22.8
10.45,6.254,2.2565,0.14231,0.547,18.5
12.04,6.176,2.7301,0.13158,0.547,21.2
10.3,6.021,2.7474,0.15098,0.547,19.2
15.37,5.872,2.4775,0.13058,0.547,20.4
13.61,5.731,2.7592,0.14476,0.547,19.3
14.37,5.87,2.2577,0.06899,0.581,22.0
14.27,6.004,2.1974,0.07165,0.581,20.3
17.93,5.961,2.0869,0.09299,0.581,20.5
25.41,5.856,1.9444,0.15038,0.581,17.3
17.58,5.879,2.0063,0.09849,0.581,18.8
27.26,5.613,1.7572,0.38735,0.581,15.7
17.19,5.693,1.7883,0.25915,0.624,16.2
15.39,6.431,1.8125,0.32543,0.624,18.0
12.26,6.326,2.271,1.19294,0.624,19.6
15.03,5.822,2.4699,0.32982,0.624,18.4
17.31,5.757,2.346,0.97617,0.624,15.6
16.9,5.942,1.9669,0.32264,0.624,17.4
14.59,6.454,1.8498,0.35233,0.624,17.1
21.32,5.857,1.6686,0.2498,0.624,13.3
18.46,6.151,1.6687,0.54452,0.624,17.8
30.280000000000005,5.019,1.4394,1.62864,0.624,14.4
26.82,5.403,1.3216,3.32105,0.871,13.4
27.8,6.13,1.4191,2.37934,0.871,13.8
29.53,4.926,1.4608,2.36862,0.871,14.6
28.32,5.186,1.5296,2.33099,0.871,17.8
21.45,5.597,1.5257,2.73397,0.871,15.4
14.1,6.122,1.618,1.6566,0.871,21.5
15.79,5.709,1.6232,2.14918,0.871,19.4
15.12,6.129,1.7494,1.41385,0.871,17.0
16.14,5.272,1.7364,2.44668,0.871,13.1
6.43,6.066,1.7573,1.34284,0.605,24.3
7.39,6.51,1.7659,1.42502,0.871,23.3
5.5,6.25,1.7984,1.27346,0.605,27.0
1.73,7.489,1.9709,1.46336,0.605,36.400000000000006
3.32,7.661499999999998,2.162,1.51902,0.605,36.400000000000006
11.64,5.854,2.422,2.24236,0.605,22.7
9.81,6.101,2.2834,2.924,0.605,25.0
3.7,7.661499999999998,2.0459,2.01019,0.605,36.400000000000006
12.14,5.877,2.4259,1.80028,0.605,23.8
11.32,6.402,2.2625,2.44953,0.605,22.3
14.43,5.875,2.4259,1.20742,0.605,17.4
12.03,5.88,2.3887,2.3139,0.605,19.1
14.69,5.572,2.5961,0.13914,0.51,23.1
9.04,6.416,2.6463,0.09178,0.51,23.6
9.64,5.859,2.7019,0.08447,0.51,22.6
5.33,6.546,3.1323,0.06664,0.51,29.4
10.11,6.02,3.5549,0.07022,0.51,23.2
6.29,6.315,3.3175,0.05425,0.51,24.6
6.92,6.86,2.9153,0.06642,0.51,29.9
5.04,6.98,2.829,0.0578,0.488,36.400000000000006
7.56,7.661499999999998,2.741,0.06588,0.488,36.400000000000006
9.45,6.144,2.5979,0.06888,0.488,36.2
4.82,7.155,2.7006,0.09103,0.488,36.400000000000006
5.68,6.563,2.847,0.10008,0.488,32.5
4.45,7.661499999999998,3.1992,0.05602,0.488,36.400000000000006
6.68,6.782,3.7886,0.07875,0.437,32.0
5.39,7.185,4.5667,0.0837,0.437,34.9
5.1,6.951,6.4798,0.09068,0.437,36.400000000000006
4.69,6.739,6.4798,0.06911,0.437,30.5
2.87,7.178,6.4798,0.08664,0.437,36.4
5.03,6.8,6.2196,0.02187,0.401,31.1
4.38,6.604,6.2196,0.01439,0.401,29.1
8.61,7.107,7.309,0.04666,0.404,30.3
4.45,7.135,7.6534,0.01778,0.403,32.9
7.43,6.162,6.27,0.03445,0.415,24.1
3.81,7.661499999999998,5.118,0.0351,0.4161,36.400000000000006
2.88,7.661499999999998,5.118,0.02009,0.4161,36.400000000000006
10.87,5.891,3.9454,0.13642,0.489,22.6
10.97,6.326,4.3549,0.22969,0.489,24.4
14.66,6.064,4.2392,0.13587,0.489,24.4
23.98,5.404,3.665,0.37578,0.489,19.3
9.38,6.375,3.9454,0.14052,0.489,28.1
29.55,5.412,3.5875,0.28955,0.489,23.7
13.51,5.888,3.1121,0.0456,0.55,23.3
21.46,6.164,3.048,0.40771,0.507,21.7
9.93,6.879,3.2721,0.62356,0.507,27.5
7.6,6.618,3.2721,0.6147,0.507,30.1
4.14,7.661499999999998,2.8944,0.31533,0.504,36.400000000000006
4.63,7.661499999999998,2.8944,0.52693,0.504,36.400000000000006
3.13,7.661499999999998,3.2157,0.38214,0.504,36.400000000000006
6.36,7.163,3.2157,0.41238,0.504,31.6
3.76,6.552,3.3751,0.44178,0.504,31.5
11.65,5.981,3.6715,0.537,0.504,24.3
2.47,7.661499999999998,3.8384,0.57529,0.507,36.400000000000006
3.95,7.661499999999998,3.6519,0.33147,0.507,36.400000000000006
8.05,6.726,3.6519,0.44791,0.507,29.0
10.88,6.086,3.6519,0.33045,0.507,24.0
9.54,6.631,4.148,0.52058,0.507,25.1
11.38,6.897,6.3361,0.11329,0.428,22.0
11.22,6.358,7.0355,0.1029,0.428,22.2
5.19,6.393,7.0355,0.12757,0.428,23.7
12.5,5.593,7.9549,0.20608,0.431,17.6
9.16,6.108,8.0555,0.33983,0.431,24.3
9.52,6.433,7.8265,0.16439,0.431,24.5
6.56,6.718,7.8265,0.19073,0.431,26.2
5.9,6.487,7.3967,0.1403,0.431,24.4
3.59,6.438,7.3967,0.21409,0.431,24.8
3.54,7.661499999999998,8.9067,0.36894,0.431,36.400000000000006
9.59,7.203,2.1121,0.54011,0.647,33.8
7.26,7.52,2.1398,0.53412,0.647,36.400000000000006
5.91,7.661499999999998,2.2885,0.52014,0.647,36.400000000000006
11.25,7.327,2.0788,0.82526,0.647,31.0
8.1,7.206,1.9301,0.55007,0.647,36.400000000000006
10.45,5.56,1.9865,0.76162,0.647,22.8
14.79,7.014,2.1329,0.7857,0.647,30.7
3.16,7.47,2.872,0.5405,0.575,36.400000000000006
6.59,6.24,4.429,0.16211,0.464,25.2
7.73,6.538,3.9175,0.1146,0.464,24.4
6.58,7.661499999999998,4.3665,0.22188,0.464,35.2
3.53,6.758,4.0776,0.05644,0.447,32.4
4.85,6.812,4.1007,0.21038,0.4429,35.1
4.59,6.968,5.2447,0.03705,0.4429,35.4
3.01,7.645,5.2119,0.06129,0.4429,36.400000000000006
3.16,7.661499999999998,5.885,0.01501,0.401,36.400000000000006
7.85,7.088,7.3073,0.00906,0.4,32.2
8.23,6.453,7.3073,0.01096,0.389,22.0
12.93,6.23,9.0892,0.01965,0.385,20.1
7.6,6.315,7.3172,0.0459,0.405,22.3
3.33,6.861,5.1167,0.03502,0.411,28.5
4.7,6.63,5.1167,0.03615,0.411,27.9
8.58,6.127,5.5027,0.08265,0.437,23.9
7.39,6.549,5.9604,0.05372,0.437,27.1
15.84,5.79,6.32,0.14103,0.437,20.3
9.5,6.59,5.4917,0.03537,0.433,22.0
8.67,6.495,5.4917,0.09266,0.433,26.4
4.86,6.982,5.4917,0.1,0.433,33.1
6.93,7.236,4.022,0.05515,0.472,36.1
8.93,6.616,3.37,0.05479,0.472,28.4
6.47,7.42,3.0992,0.07503,0.472,33.4
4.54,6.635,3.3175,0.49298,0.544,22.8
9.97,5.972,3.1025,0.3494,0.544,20.3
12.64,4.973,2.5194,2.63548,0.544,16.1
5.98,6.122,2.6403,0.79041,0.544,22.1
11.72,6.023,2.834,0.26169,0.544,19.4
11.5,5.705,3.945,0.25356,0.544,16.2
18.33,5.914,3.9986,0.31827,0.544,17.8
15.94,5.782,4.0317,0.24522,0.544,19.8
10.36,6.382,3.5325,0.40202,0.544,23.1
7.2,6.426,4.5404,0.1676,0.493,23.8
6.12,6.415,4.7211,0.34109,0.493,25.0
5.08,6.431,5.4159,0.19186,0.493,24.6
12.79,6.083,5.4159,0.24103,0.493,22.2
9.97,5.868,5.2146,0.06617,0.46,19.3
9.09,6.144,5.8736,0.04544,0.46,19.8
5.68,6.316,6.4584,0.05083,0.515,22.2
6.75,6.31,6.4584,0.03738,0.515,20.7
9.8,5.869,5.2311,0.03427,0.515,19.5
8.51,6.059,4.8122,0.03306,0.515,20.6
9.74,5.985,4.8122,0.05497,0.515,19.0
9.29,5.968,4.8122,0.06151,0.515,18.7
5.49,7.241,7.0379,0.01301,0.442,32.7
8.65,6.54,6.2669,0.02498,0.518,16.5
7.18,6.696,5.7321,0.02543,0.484,23.9
4.61,6.874,6.4654,0.03049,0.484,31.2
6.36,6.516,8.5353,0.0187,0.429,23.1
5.99,6.635,8.344,0.01501,0.435,24.5
5.89,6.939,8.7921,0.02899,0.429,26.6
7.79,5.884,9.60815,0.07244,0.411,18.6
17.6,6.212,2.1222,8.98296,0.77,17.8
13.27,6.395,2.5052,3.8497,0.77,21.7
11.48,6.127,2.7227,5.20177,0.77,22.7
12.67,6.112,2.5091,4.26131,0.77,22.6
7.79,6.398,2.5182,4.54192,0.77,25.0
10.19,5.362,2.1036,3.67822,0.77,20.8
7.12,4.817500000000001,1.6132,4.55587,0.718,27.5
14.0,4.963,1.7523,3.69695,0.718,21.9
13.33,4.817500000000001,1.5106,9.07711,0.631,23.1
3.26,4.97,1.3325,4.89822,0.631,36.400000000000006
2.96,7.016,1.2024,6.53876,0.631,36.400000000000006
9.53,6.216,1.1691,9.07711,0.631,36.400000000000006
8.88,5.875,1.1296,8.26725,0.668,36.400000000000006
30.280000000000005,4.906,1.1742,9.07711,0.668,13.8
30.280000000000005,4.817500000000001,1.137,9.07711,0.668,13.8
23.24,6.649,1.3449,9.07711,0.671,13.9
21.24,6.794,1.358,9.07711,0.671,13.3
23.6,5.536,1.5804,9.07711,0.7,11.3
24.56,5.52,1.5331,7.99248,0.7,12.3
30.280000000000005,4.817500000000001,1.4395,9.07711,0.7,8.8
28.28,4.817500000000001,1.4672,9.07711,0.7,10.5
30.280000000000005,5.0,1.5184,9.07711,0.7,7.4
20.85,5.39,1.7281,8.15174,0.7,11.5
18.76,6.051,2.1678,5.29305,0.7,23.2
25.68,5.036,1.77,9.07711,0.7,9.7
16.35,5.887,1.7821,9.07711,0.693,12.7
19.37,6.405,1.6768,5.87205,0.693,12.5
30.280000000000005,5.453,1.4896,9.07711,0.693,5.9999999999999964
26.77,5.987,1.5888,9.07711,0.693,5.9999999999999964
20.32,6.343,1.5741,9.07711,0.693,7.2
19.77,5.349,1.7028,9.07711,0.693,8.3
12.13,5.608,1.2852,9.07711,0.659,27.9
26.4,5.617,1.4547,7.40389,0.597,17.2
20.08,5.155,1.5894,9.07711,0.597,16.3
30.280000000000005,4.817500000000001,1.6582,9.07711,0.693,7.0
29.05,6.434,1.8347,9.07711,0.679,7.2
26.64,5.304,1.6475,9.07711,0.679,10.4
20.62,5.957,1.8026,9.07711,0.679,8.8
22.74,6.824,1.794,9.07711,0.718,8.4
17.16,5.565,2.0635,8.79212,0.584,11.7
24.39,5.896,1.9096,9.07711,0.679,8.3
14.52,6.202,1.8629,9.07711,0.679,10.9
21.52,6.193,1.9356,7.36711,0.679,11.0
24.08,6.38,1.9682,9.07711,0.679,9.5
19.69,6.833,2.0882,9.07711,0.584,14.1
12.03,6.425,2.2004,6.44405,0.584,16.1
16.22,6.436,2.3158,5.58107,0.713,14.3
15.17,6.208,2.2222,9.07711,0.713,11.7
26.45,6.152,1.9142,9.07711,0.74,8.7
22.88,5.627,1.8172,9.07711,0.74,12.8
22.11,5.818,1.8662,9.07711,0.74,10.5
19.52,6.406,2.0651,9.07711,0.74,17.1
16.59,6.219,2.0048,5.66637,0.74,18.4
18.85,6.485,1.9784,9.07711,0.74,15.4
23.79,5.854,1.8956,9.07711,0.74,10.8
23.98,6.459,1.9879,9.07711,0.74,11.8
16.44,6.251,2.198,9.07711,0.74,12.6
18.13,6.185,2.2616,9.07711,0.713,14.1
17.73,6.655,2.3552,5.44114,0.713,15.2
17.27,6.297,2.3682,5.09017,0.713,16.1
16.74,7.393,2.4527,8.24809,0.713,17.8
18.13,6.525,2.4358,4.75237,0.713,14.1
16.94,5.936,2.7792,8.20058,0.713,13.5
16.23,6.301,2.7831,7.75223,0.713,14.9
14.7,6.081,2.7175,6.80117,0.713,20.0
16.42,6.701,2.5975,4.81213,0.713,16.4
14.65,6.376,2.5671,3.69311,0.713,17.7
13.99,6.317,2.7344,6.65492,0.713,19.5
10.29,6.513,2.8016,5.82115,0.713,20.2
13.22,6.209,2.9634,7.83932,0.655,21.4
14.13,5.759,3.0665,3.1636,0.655,19.9
17.15,5.952,2.8715,3.77498,0.655,19.0
21.32,6.003,2.5403,4.42228,0.584,19.1
18.13,5.926,2.9084,9.07711,0.58,19.1
14.76,5.713,2.8237,9.07711,0.58,20.1
12.87,6.229,3.0993,4.03841,0.532,19.6
14.36,6.437,2.8965,3.56868,0.58,23.2
18.14,5.427,2.4298,8.05579,0.584,13.8
18.68,6.484,2.3053,4.87141,0.614,16.7
24.91,5.304,2.1007,9.07711,0.614,12.0
18.03,6.185,2.1705,9.07711,0.614,14.6
13.11,6.229,1.9512,9.07711,0.614,21.4
10.74,6.242,3.4242,5.82401,0.532,23.0
7.74,6.75,3.3317,5.70818,0.532,23.7
10.42,5.762,4.0983,2.81838,0.532,21.8
13.34,5.871,3.724,2.37857,0.583,20.6
14.98,6.114,3.5459,5.69175,0.583,19.1
11.45,5.905,3.1523,4.83567,0.583,20.6
18.06,5.454,1.8209,0.15086,0.609,15.2
29.68,5.093,1.8226,0.20746,0.609,8.1
18.07,5.983,1.8681,0.10574,0.609,13.6
13.35,5.983,2.1099,0.11132,0.609,20.1
12.01,5.707,2.3817,0.17331,0.585,21.8
14.1,5.794,2.8927,0.26838,0.585,18.3
15.1,5.569,2.3999,0.17783,0.585,17.5
9.67,6.593,2.4786,0.06263,0.573,22.4
9.08,6.12,2.2875,0.04527,0.573,20.6
5.64,6.976,2.1675,0.06076,0.573,23.9
7.88,6.03,2.505,0.04741,0.573,11.9
